,SIC,Horizontal,"CAR(-1, +1)","CAR(-2, +2)",Crossborder,Cash,Leverage,Acquiror size,Date (years)
10169,6020,0,0.0260591,0.2216024,1,0,0.9420591,17.378,2010
10170,6020,0,0.1176152,0.0852882,1,0,0.9337559,34.785,2008
10171,1600,0,-0.048857,-0.026344,0,0,0.4737728,3538.541,2008
10172,1600,0,0.0162676,-0.007883,0,0,0.3977725,6137.207,2011
10173,1600,0,0.0322602,0.0406609,0,0,0.3883478,4999.315,2010
10174,1600,0,0.0134481,0.0269586,1,0,0.456039,9908.255,2007
10175,1600,0,-0.002073,-0.002952,1,0,0.4181923,6683.762,2013
10176,1600,0,-0.005586,-0.048731,0,0,0.4433423,9155.493,2008
10177,1600,0,-0.008622,-0.006519,0,0,0.4590877,6117.425,2011
10178,1600,0,0.0295162,0.0322216,1,0,0.4373745,4736.602,2012
10179,1600,0,0.0007372,-0.004607,1,0,0.3883478,5217.114,2010
10180,1600,0,-0.005265,-0.012807,1,0,0.483355,8513.106,2014
10181,1600,0,0.0105892,0.0224146,1,0,0.4930474,2771.686,2007
10182,1600,0,0.0019061,0.0016576,1,0,0.4159677,7717.093,2014
10183,1600,0,-0.009627,-0.003431,1,0,0.483355,8419.454,2014
10184,1600,0,0.0129216,0.0122017,0,0,0.4159677,7564.543,2013
10185,1600,0,-0.003771,-0.016921,0,0,0.4560318,6953.559,2014
10186,1600,0,0.0123824,0.0151001,1,0,0.4506282,4267.877,2011
10187,1600,0,-0.013885,-0.029921,0,0,0.4433423,9593.768,2008
10188,1600,0,-0.020313,-0.013315,1,0,0.4159677,8054.279,2013
10189,1600,0,0.0243228,0.0181676,1,0,0.3883478,5085.643,2010
10190,1600,0,0.0139816,0.0264629,1,0,0.4058017,4533.949,2009
10191,1600,0,-0.02235,-0.004162,1,1,0.395314,5138.893,2010
10192,1600,0,0.0168605,0.0258758,0,0,0.5092138,4609.856,2006
10193,1600,0,-0.008475,-0.000189,1,0,0.5247085,4891.852,2006
10194,1600,0,-0.026718,-0.054088,0,0,0.4571554,9381.027,2008
10195,1220,0,-0.060781,-0.123185,1,0,0.7818545,1391.06,2008
10196,6331,0,-0.016082,-0.033967,1,0,0.7115185,511.604,2007
10197,6282,0,0.0325554,0.100785,1,0,0.6667215,1195.372,2009
10198,6282,1,-0.031891,-0.076113,1,0,0.5127873,4704.714,2008
10199,6282,0,-0.005731,0.0101965,1,1,0.4240795,2143.09,2014
10200,3089,0,-0.012036,-0.011276,0,0,0.7591148,8889.714,2015
10201,3089,0,0.0899404,0.0855076,1,1,0.7341114,2732.142,2012
